id,name,description,created_at,updated_at,url
1,Apple-Lemon Smoothie,Apple-Lemon\n2 apples\n1/2 lemon juiced\n1 whole carrot\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n\nCalories: 195 | Fat: 0.7g (grams) | Protein: 4.1g | Carbs: 53.6g | Calcium: 15% | Vitamin A: 255% | Vitamin C: 138%,2014-03-26 02:10:50.358710,2014-03-26 02:10:50.358710,http://www.incrediblesmoothies.com/recipes/apple-smoothie-recipes-and-nutrition/
2,Apple-Grape Smoothie, 1 apple,\n1 cup red grapes,\n1 whole carrot,\n2 cups fresh baby spinach (or other leafy green),\n1/2 cup water,\n\nCalories: 222 | Fat: 0.7g (grams) | Protein: 4.3g | Carbs: 58g | Calcium: 13% | Vitamin A: 253% | Vitamin C: 87%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/apple-smoothie-recipes-and-nutrition/
3,Apple-Blueberry Smoothie,1 apple\n1 cup blueberries\n2 cups fresh baby spinach (or other leafy green)\n¼ avocado\n1/2 cup water\n\nCalories: 245 | Fat: 7.7g (grams) | Protein: 4.5g | Carbs: 47.3g | Calcium: 10% | Vitamin A: 84% | Vitamin C: 82%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/apple-smoothie-recipes-and-nutrition/
4,Apple-Green Smoothie,2 apples\n2 cups fresh baby spinach (or other leafy green)\n1 celery stalk (optional)\n1/2 cup water\n\nCalories: 160 | Fat: 0.5g (grams) | Protein: 3.1g | Carbs: 41.4g | Calcium: 12% | Vitamin A: 86% | Vitamin C: 64%\n\n,<null>,<null>,http://www.incrediblesmoothies.com/recipes/apple-smoothie-recipes-and-nutrition/
5,Apricot-Strawberry Smoothie,2-4 apricots\n1 apple\n½ cup strawberries\n2 cups fresh baby spinach (or other leafy green)\n1 whole carrot\n1/2 – 1 cup water\n\nCalories: 170 | Fat: 0.8g (grams) | Protein: 4.6g | Carbs: 42.8g | Calcium: 12% | Vitamin A: 280% | Vitamin C: 140%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/apricot-smoothie-recipes-and-nutrition/
6,Apricot-Ginger Smoothie,2-4 apricots\n1 apple\n1 small stalk celery\n2 cups fresh baby spinach (or other leafy green)\n1 tbs ginger (to taste)\n1/2 cup water\n\nCalories: 122 | Fat: 0.5g (grams) | Protein: 3.7g | Carbs: 31.1g | Calcium: 11% | Vitamin A: 111% | Vitamin C: 65%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/apricot-smoothie-recipes-and-nutrition/
7,Apricot-Peach Smoothie,2 apricots\n1 peach\n1 whole carrot (optional)\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n\nCalories: 112 | Fat: 0.6g (grams) | Protein: 4.6g | Carbs: 27g | Calcium: 11% | Vitamin A: 285% | Vitamin C: 70%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/apricot-smoothie-recipes-and-nutrition/
8,Apricot-Banana Smoothie,2-4 apricots\n1 whole banana\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n\nCalories: 182 | Fat: 0.7g (grams) | Protein: 5g | Carbs: 45.8g | Calcium: 9% | Vitamin A: 121% | Vitamin C: 78%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/apricot-smoothie-recipes-and-nutrition/
9,Avocado-Apple Smoothie,1 green apple\n1/2 avocado\n1 tbls lime juice\n1/2 – 1 cup water\n\nCalories: 233 | Fat: 15g (grams) | Protein: 2.4g | Carbs: 27.6g | Calcium: 2% | Vitamin A: 4% | Vitamin C: 28%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/avocado-smoothie-recipes-and-health-benefits/
10,Avocado-Banana Smoothie,1/2 avocado\n1 banana\n1 apple\n1 stock of celery\n1-2 cups fresh baby spinach (or other leafy green)\n1/2 – 1 cup water\n\nCalories: 365 | Fat: 15.7g (grams) | Protein: 5.2g | Carbs: 61.4g | Calcium: 9% | Vitamin A: 50% | Vitamin C: 69%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/avocado-smoothie-recipes-and-health-benefits/
11,Avocado-Kiwi Smoothie,½ avocado\n2 kiwis\n1 banana\n2 cups fresh baby spinach (or other leafy green)\n1/2 – 1 cup water\n\nCalories: 379 | Fat: 15.8g (grams) | Protein: 6.3g | Carbs: 63.3g | Calcium: 12% | Vitamin A: 47% | Vitamin C: 290%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/avocado-smoothie-recipes-and-health-benefits/
